mutcd_code,description,sign_text,category
D11-1,bike route,BIKE ROUTE,locational
D12-1,weather stations,WEATHER INFO TUNE RADIO TO [[station]],service
D12-2,car pool,CAR POOL INFO [[number]],service
D12-3,cb radio,[[text]],service
D12-5,travel info,TRAVELER INFO CALL 511,service
D13-1,crossover,CROSSOVER,locational
D13-2,crossover distance,CROSSOVER [[distance]],locational
I1-1,signal set for,SIGNALS SET FOR [[speed]],service
I-2,state line,[[state]] STATE LINE,locational
I-3,river,[[river]],locational
I-4,hiking trail, ,locational
I-5,airport, ,locational
I-6,bus station, ,locational
I-7,train station, ,locational
I-8,library textless, ,locational
I-8P,library,LIBRARY,locational
I-9,port, ,locational
I-10,winter, ,locational
I-11,recycling center, ,locational
I-13,to report emergency,[[text]],service
I-13a,report emergency terse,[[text]],service
